Code,Android-key,English,Bahasa
,【Common】,,
_10aec353,cancel,Cancel,Batalkan
_a14fa216,loading,Loading…,Loading…
_828905a2,login_out,Log out,Keluar
_444bcb3a,ok,OK,OK
_0020d1a4,over_max_limit,Max limit reached,Telah mencapai batas maksimum
_018110ff,over_min_limit,Min limit reached,Telah mencapai limit minimum
_43781db5,save,Save,Simpan
_199ad8f2,save_iamge_failed,Save failed,Gagal
_29d10d7f,save_image_success,Save successful,Tersimpan
_2af72f10,version,Version %s,Versi %s
_a6105c0a,yes,Yes,Iya
,【Permission】,,
_ece66ad3,permission_battery_content,We will be able to send you offline message notifications only when you grant this access.,Kami akan dapat mengirimi Anda pemberitahuan pesan luring hanya jika Anda memberikan akses ini.
_dac540b1,permission_battery_operate,Set,Atur
_dac7e27b,permission_battery_title,Allow App to run in background?,Izinkan App berjalan di latar belakang?
_2ef1bb05,permission_notification_content,"Your notifications are not turned on, you will not be notified of new messages","Notifikasi anda tidak aktif, anda tidak akan menerima notifikasi jik ada pesan baru"
_6c14d946,permission_notification_operate,Set,Atur
_81597753,permission_notification_title,Notification prompt,Permintaan Notifikasi
,【Dialog】,,
_03571343,logout_dialog_subtitle,Are you sure to logout?,Apakah Anda yakin untuk logout?
_daba9214,logout_dialog_title,Logout,Keluar
,【Home】,,
_f4831c7b,navigation_cloud,Cloud Setting,pengaturan awan
_03315ed0,navigation_home,Home,Beranda
_97c47e07,navigation_logout,Logout,Keluar
_11395f2d,navigation_upload,Upload Upgrades,Unggah Peningkatan
_51444f01,username_default_administrator,Administrator,Administrator
_63463a0d,welcome_admin_system,Welcome to App Management System,Selamat datang di Sistem Manajemen Aplikasi
_ac9c077b,welcome_admin_system_content,App Management System can help you edit and manage your app configuration.,Sistem Manajemen Aplikasi dapat membantu Anda mengedit dan mengelola konfigurasi aplikasi Anda.
,【Upload】,,
_f1e5dc91,latest_version_channel,Channel,Saluran
_5983eb3b,latest_version_compat_version,Compat Version,Versi Kompatibel
_4744803a,latest_version_config_value,Config Value,Nilai Konfigurasi
_bb973cbe,latest_version_info_title,Latest Version,Versi terbaru
_79e57685,latest_version_latest_version,Latest Version,Versi terbaru
_8ecefbdd,latest_version_name,Version Name,Nama Versi
_204a0600,latest_version_version_id,Version ID,ID Versi
_38dfffef,updated_time_title,Updated Time:,Waktu yang Diperbarui:
_4ead2c37,upload_button_text,Upload New,Unggah Baru
,【Platform】,,
_918b7a11,platform_blibli,BliBli,BliBli
_853432e4,platform_instagram,Instagram,Instagram
_fbb2e98a,platform_lazada,Lazada,Lazada
_924471ec,platform_shopee,Shopee,Shopee
_f4db90a7,platform_tiktok,TikTok,TikTok
_f1c32494,platform_tokopedia,Tokopedia,Tokpedia
_e42220fa,platform_whats_app,WhatsApp,WhatsApp
_a2712e82,platform_whats_app_commerce,WhatsApp Commerce,WhatsApp Commerce
,【Splash】,,
_cdcfe606,splash_no_internet_content,Your network is currently unavailable. Please check your settings and try again,Mohon periksa pengaturan telepon seluler Anda dan coba Lagi
_92ad0d94,splash_no_internet_negative,Setting,Atur
_0a2ff602,splash_no_internet_positive,Retry,Coba lagi
_56aeb490,splash_no_internet_title,No network available,Jaringan tidak tersedia
,【Welcome】,,
_a9341bfc,welcome_content,"Easily reply your customer chat, anywhere and anytime from your Mobile App","Balas pesan pelanggan Anda dengan mudah, di mana saja dan kapan saja dari Aplikasi Seluler"
_883e8df6,welcome_content_no_platform,Please connect a channel on Profile-Channel Management or Web to start the chat with your customers.,Hubungkan toko Anda di Profil - Pengaturan Toko atau di Website untuk mulai chat dengan penlanggan Anda
_c163e094,welcome_login,Log in,Log in
_440ed308,welcome_refresh,Refresh,Refresh
_318903df,welcome_title,Welcome to Desty Chat,Selamat Datang di Desty Chat
,【Upgrade】,,
_aaa399bd,upgrade_cancel_button,<u>Cancel update</u>,<u>Batalkan</u>
_b1494cfb,upgrade_get_info_failure,Get upgrade info failed,Gagal memuat infomasi update
_e233ca91,upgrade_title,Update Reminder,Pengingat Perbaruhi
_261f47a8,upgrade_upgrade_button,Update,Update
_8c401962,upgrade_without_click,<u>here</u>,<u>disini</u>
_162dc5f5,upgrade_without_google_play_tip,if u Without Google play?,Perbaruhi tanpa Google Play
,【Login】,,
_769edc64,login_check_email_empty,Please input your email account,Masukkan email anda
_7390f19c,login_check_email_invaild,Invalid email account,Format email salah
_14e242ac,login_check_password_empty,Please input your email password,Masukkan password anda
_fadb4312,login_check_phone_number_empty,Please input your phone number first,Masukkan nomer hp
_b572c422,login_check_phone_number_invaild,Invalid phone number,Nomer hp anda salah
_60d7cc33,login_check_psw_empty,Please input your password,Tolong masukkan kata sandimu
_fb294f75,login_check_username_empty,Please input your username,Tolong masukan nama pengguna anda
_2186405c,login_check_username_invalid,The input username is Invalid,Username masukan tidak valid
_544d458a,login_email_account_input_hint,Please input the Email account,Harap input email
_bc1e9ee2,login_email_login,Log in,Log in
_c8ec64c7,login_email_password_hint,Please input the password,Harap input kata sandi
_86619ce4,login_email_title,with Email account,dengan Email
_abadafd4,login_expired,Your login has expired,Login Anda telah kedaluwarsa
_f6db0733,login_otp_count_down,%ds later get the OTP again,%ds untuk kirim ulang OTP
_b9c6cfcf,login_otp_get_otp,Get the OTP,Dapatkan kode OTP
_b8013d15,login_otp_get_otp_again,<u>Get the OTP again</u>,<u>Kirim ulang OTP</u>
_3c4c3c12,login_otp_get_otp_failed,Get the OTP failed,OTP salah
_a1de4914,login_otp_input_hint,Please input the OTP,Harap masukan kode OTP
_06123bfa,login_otp_title,with Phone number,dengan No. Telp
_0b011e00,login_out_dialog_content,Are you sure you want to log out of the Desty Chat app? Logout will not receive messages,Anda yakin keluar dari Desty Chat app? Anda tidak akan menerima pesan dari customer
_35280f7a,login_out_dialog_title,Confirm,Konfirmasi
_1bb0a1be,login_phone_number_input_hint,Please input the phone number,Masukkan no telp
_7d6e6801,login_policy,"By logging or sign up, you agree to Terms &amp; Conditions and Privacy Policy","Dengan masuk atau mendaftar, Anda menyetujui Syarat &amp; Ketentuan dan Kebijakan Privasi"
_34039c01,login_policy_highlight_privacy_policy,Privacy Policy,Kebijakan Privasi
_3be82bff,login_policy_highlight_terms_conditions,Terms &amp; Conditions,Syarat &amp; Ketentuan
_533972a2,login_refresh_content,"Failed to connect to the service, please click Refresh to try again","Gagal menghubungkan servis, coba lagi dengan klik refresh"
_64826f25,login_refresh_positive,Refresh,Refresh
_61d34745,login_refresh_title,Login successful,Login Berhasil
_ad448021,login_switch_to_email,Email login,Email Log in
_4d2c83c4,login_switch_to_otp,Phone number login,Masuk dengan Telp
_1551b724,login_title,Log in,Masuk
_8b1c27f6,login_username_input_hint,Please input your username,Tolong masukan nama pengguna anda
_0da195b5,login_with_email_title,Log in,Masuk
,【Onboarding】,,
_702ee5a1,login_management_system,App Management System, Sistem manajemen aplikasi
_5c48aab4,login_password_input_hint,Please input your password,Tolong masukkan kata sandimu
_86d5df35,onboarding_error_email,Invalid email address,Email salah
_b13f6943,onboarding_error_name,Please enter the correct full name,Masukkan nama lengkap yang benar
_5303ebe1,onboarding_user_info_email_hint,Input your email,Alamat email
_e91bd314,onboarding_user_info_email_title,Email,Email
_ee4ab2b1,onboarding_user_info_name_hint,Input your name,Nama
_76f62e81,onboarding_user_info_name_title,Full Name *,Nama Lengkap *
_2cc38b9a,onboarding_user_info_operation,Start to use Desty Chat,Mulai Desty Chat
_e71ed59a,onboarding_user_info_tip,Input email to get updates from Desty Chat,Masukkan email untuk mendapatkan informasi terbaru
_0394a837,onboarding_user_info_title,Personal information,Informasi Pribadi
,【Message】,,
_372c4039,message_attach_order_title,You are talking about this order,Anda sedang membicarakan pesanan ini
_dcff591d,message_attach_product_title,You are talking about this product,Anda sedang membicarakan produk ini
_71d39e97,message_attachment_camera,Camera,Kamera
